order_item_id,order_id,product_id,purchase_type,quantity,unit_price,line_total
1,1,11,3_pack,1,4.33,4.33
2,1,3,3_pack,1,4.33,4.33
3,1,2,3_pack,1,4.33,4.33
4,2,5,3_pack,1,4.33,4.33
5,2,6,3_pack,1,4.33,4.33
6,2,3,3_pack,1,4.33,4.33
7,3,6,6_pack,1,4.0,4.0
8,3,8,6_pack,1,4.0,4.0
9,3,8,6_pack,1,4.0,4.0
10,3,3,6_pack,1,4.0,4.0
11,3,3,6_pack,1,4.0,4.0
12,3,4,6_pack,1,4.0,4.0
13,4,8,individual,1,5.0,5.0
14,5,7,6_pack,1,4.0,4.0
15,5,7,6_pack,1,4.0,4.0
16,5,7,6_pack,1,4.0,4.0
17,5,7,6_pack,1,4.0,4.0
18,5,11,6_pack,1,4.0,4.0
19,5,4,6_pack,1,4.0,4.0
20,6,4,individual,1,5.0,5.0
21,7,11,individual,1,5.0,5.0
22,8,1,3_pack,1,4.33,4.33
23,8,4,3_pack,1,4.33,4.33
24,8,11,3_pack,1,4.33,4.33
25,9,3,6_pack,1,4.0,4.0
26,9,7,6_pack,1,4.0,4.0
27,9,8,6_pack,1,4.0,4.0
28,9,5,6_pack,1,4.0,4.0
29,9,9,6_pack,1,4.0,4.0
30,9,2,6_pack,1,4.0,4.0
31,10,7,3_pack,1,4.33,4.33
32,10,10,3_pack,1,4.33,4.33
33,10,8,3_pack,1,4.33,4.33
34,11,8,6_pack,1,4.0,4.0
35,11,12,6_pack,1,4.0,4.0
36,11,11,6_pack,1,4.0,4.0
37,11,2,6_pack,1,4.0,4.0
38,11,9,6_pack,1,4.0,4.0
39,11,7,6_pack,1,4.0,4.0
40,12,10,3_pack,1,4.33,4.33
41,12,3,3_pack,1,4.33,4.33
42,12,7,3_pack,1,4.33,4.33
43,13,7,3_pack,1,4.33,4.33
44,13,3,3_pack,1,4.33,4.33
45,13,1,3_pack,1,4.33,4.33
46,14,1,individual,1,5.0,5.0
47,15,6,individual,1,5.0,5.0
48,16,8,3_pack,1,4.33,4.33
49,16,9,3_pack,1,4.33,4.33
50,16,3,3_pack,1,4.33,4.33
51,17,12,individual,1,5.0,5.0
52,18,2,3_pack,1,4.33,4.33
53,18,8,3_pack,1,4.33,4.33
54,18,7,3_pack,1,4.33,4.33
55,19,6,6_pack,1,4.0,4.0
56,19,9,6_pack,1,4.0,4.0
57,19,1,6_pack,1,4.0,4.0
58,19,12,6_pack,1,4.0,4.0
59,19,8,6_pack,1,4.0,4.0
60,19,11,6_pack,1,4.0,4.0
61,20,3,individual,1,5.0,5.0
62,21,3,6_pack,1,4.0,4.0
63,21,2,6_pack,1,4.0,4.0
64,21,1,6_pack,1,4.0,4.0
65,21,2,6_pack,1,4.0,4.0
66,21,12,6_pack,1,4.0,4.0
67,21,4,6_pack,1,4.0,4.0
68,22,1,3_pack,1,4.33,4.33
69,22,11,3_pack,1,4.33,4.33
70,22,12,3_pack,1,4.33,4.33
71,23,4,3_pack,1,4.33,4.33
72,23,4,3_pack,1,4.33,4.33
73,23,4,3_pack,1,4.33,4.33
74,24,9,individual,1,5.0,5.0
75,25,8,6_pack,1,4.0,4.0
76,25,5,6_pack,1,4.0,4.0
77,25,7,6_pack,1,4.0,4.0
78,25,12,6_pack,1,4.0,4.0
79,25,4,6_pack,1,4.0,4.0
80,25,8,6_pack,1,4.0,4.0
81,26,8,3_pack,1,4.33,4.33
82,26,9,3_pack,1,4.33,4.33
83,26,5,3_pack,1,4.33,4.33
84,27,9,individual,1,5.0,5.0
85,28,4,3_pack,1,4.33,4.33
86,28,9,3_pack,1,4.33,4.33
87,28,9,3_pack,1,4.33,4.33
88,29,11,3_pack,1,4.33,4.33
89,29,6,3_pack,1,4.33,4.33
90,29,11,3_pack,1,4.33,4.33
91,30,7,individual,1,5.0,5.0
92,31,7,individual,1,5.0,5.0
93,32,6,3_pack,1,4.33,4.33
94,32,3,3_pack,1,4.33,4.33
95,32,6,3_pack,1,4.33,4.33
96,33,7,3_pack,1,4.33,4.33
97,33,8,3_pack,1,4.33,4.33
98,33,5,3_pack,1,4.33,4.33
99,34,8,3_pack,1,4.33,4.33
100,34,6,3_pack,1,4.33,4.33
101,34,1,3_pack,1,4.33,4.33
102,35,8,individual,1,5.0,5.0
103,36,8,6_pack,1,4.0,4.0
104,36,8,6_pack,1,4.0,4.0
105,36,12,6_pack,1,4.0,4.0
106,36,9,6_pack,1,4.0,4.0
107,36,5,6_pack,1,4.0,4.0
108,36,5,6_pack,1,4.0,4.0
109,37,2,individual,1,5.0,5.0
110,38,2,6_pack,1,4.0,4.0
111,38,7,6_pack,1,4.0,4.0
112,38,7,6_pack,1,4.0,4.0
113,38,8,6_pack,1,4.0,4.0
114,38,1,6_pack,1,4.0,4.0
115,38,8,6_pack,1,4.0,4.0
116,39,7,individual,1,5.0,5.0
117,40,6,individual,1,5.0,5.0
118,41,2,3_pack,1,4.33,4.33
119,41,9,3_pack,1,4.33,4.33
120,41,4,3_pack,1,4.33,4.33
121,42,8,3_pack,1,4.33,4.33
122,42,2,3_pack,1,4.33,4.33
123,42,3,3_pack,1,4.33,4.33
124,43,3,individual,1,5.0,5.0
125,44,1,3_pack,1,4.33,4.33
126,44,7,3_pack,1,4.33,4.33
127,44,8,3_pack,1,4.33,4.33
128,45,3,6_pack,1,4.0,4.0
129,45,9,6_pack,1,4.0,4.0
130,45,3,6_pack,1,4.0,4.0
131,45,8,6_pack,1,4.0,4.0
132,45,1,6_pack,1,4.0,4.0
